"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"198","D6RF35_GC","D6RF35_GC","0.0296","-0.145","0.1082","-0.01"
"199","A0A087X130","A0A087X130","-0.1444","0.1317","0.1431","-0.1303"
"200","P17931_LGALS3","P17931_LGALS3","0.0605","0.061","-0.1429","0.0316"
"201","J3KPA1_CRISP3","J3KPA1_CRISP3","-0.1424","0.091","-0.0095","0.0799"
"202","P08246_ELANE","P08246_ELANE","-0.0136","-0.0224","0.1409","-0.1209"
"203","X6R8F3_LCN2","X6R8F3_LCN2","0.1399","-0.0915","0.0251","-0.0942"
"204","P30040_ERP29","P30040_ERP29","-0.1397","0.0876","-0.0071","0.0775"
"205","P25311_AZGP1","P25311_AZGP1","-0.1391","0.0878","0.0115","0.0557"
"206","P02750_LRG1","P02750_LRG1","0.0013","-0.1165","0.1389","-0.0412"
"207","P04899_4_GNAI2","P04899_4_GNAI2","0.1237","0.0751","-0.0713","-0.134"
"208","P80748","P80748","0.1333","0.078","-0.1335","-0.0777"
"209","A0A087WVN6","A0A087WVN6","-0.1321","0.0092","0.0567","0.0757"
"210","CON__P00761","CON__P00761","-0.0281","0.0182","-0.1051","0.1316"
"211","P78417_GSTO1","P78417_GSTO1","-0.0536","0.0629","0.1142","-0.1311"
"212","P13797_PLS3","P13797_PLS3","0.1308","-0.0813","-0.0195","-0.0439"
"213","P30740_SERPINB1","P30740_SERPINB1","-0.1295","0.0852","-0.0217","0.0848"
"214","P14174_MIF","P14174_MIF","-0.0141","0.0372","0.096","-0.1293"
"215","P20618_PSMB1","P20618_PSMB1","0.1081","-0.1106","0.1051","-0.1292"
"216","Q8N4F0_BPIFB2","Q8N4F0_BPIFB2","-0.0296","0.0962","-0.1288","0.082"
"217","P01034_CST3","P01034_CST3","-0.0921","0.1285","-0.0344","0.0139"
"218","P18510_2_IL1RN","P18510_2_IL1RN","-0.1243","0.1268","-0.0609","0.0816"
"219","P22894_MMP8","P22894_MMP8","0.0367","-0.0134","-0.1267","0.1146"
"220","P00558_PGK1","P00558_PGK1","-0.0071","0.0489","0.076","-0.1264"
"221","P22314_UBA1","P22314_UBA1","0.1048","0.1264","-0.1081","-0.1226"
"222","P36952_SERPINB5","P36952_SERPINB5","-0.1262","0.0604","0.0504","0.025"
"223","P10909_2_CLU","P10909_2_CLU","-0.1259","0.092","0.0911","-0.0528"
"224","P08311_CTSG","P08311_CTSG","0.1051","0.0723","-0.1214","-0.054"
"225","A0A087X2C0","A0A087X2C0","-0.061","0.0304","0.1192","-0.0959"
"226","P07737_PFN1","P07737_PFN1","0.0321","-5e-04","0.0738","-0.1187"
"227","P22079_LPO","P22079_LPO","-0.0895","0.1183","0.0396","-0.0621"
"228","O95336_PGLS","O95336_PGLS","-0.0291","0.114","-0.0078","-0.0725"
"229","P31947_SFN","P31947_SFN","-0.025","0.1123","-0.0772","0.0027"
"230","P43652_AFM","P43652_AFM","-0.1043","0.1109","0.0334","-0.0311"
"231","P01876_IGHA1","P01876_IGHA1","-7e-04","0.0696","-0.1105","0.0556"
"232","P32926_DSG3","P32926_DSG3","-0.0975","0.1082","-0.0215","0.0257"
"233","A8K2U0_A2ML1","A8K2U0_A2ML1","-0.015","0.0927","-0.1072","0.0447"
"234","P00352_ALDH1A1","P00352_ALDH1A1","0.0741","0.0846","-0.0548","-0.1063"
"235","P29401_2_TKT","P29401_2_TKT","-0.0099","0.0686","0.0426","-0.1054"
"236","CON__P02768_1_ALB","CON__P02768_1_ALB","-0.0399","-0.0948","0.1053","0.0212"
"237","P05109_S100A8","P05109_S100A8","0.1043","-0.042","0.0037","-0.0794"
"238","P63261_ACTG1","P63261_ACTG1","0.0572","0.026","0.0108","-0.1026"
"239","P62937_PPIA","P62937_PPIA","-0.0091","0.0389","0.0644","-0.101"
"240","P00338_3_LDHA","P00338_3_LDHA","0.013","0.0489","0.0319","-0.0994"
"241","P01714","P01714","-0.009","-0.0992","0.0591","0.0428"
"242","P62328_TMSB4X","P62328_TMSB4X","-3e-04","-0.0099","0.0963","-0.098"
"243","P59998_3_ARPC4","P59998_3_ARPC4","0.0706","0.0401","-0.0194","-0.0977"
