*N,acc_tree,groups
3,0.888888888889,CON__P00761,P01009_SERPINA1,P23280_CA6
3,0.833333333333,CON__P00761,P01009_SERPINA1,P01616
3,0.888888888889,CON__P00761,P01009_SERPINA1,Q8TAX7_MUC7
3,0.833333333333,CON__P00761,P01009_SERPINA1,P22532_SPRR2D
3,0.888888888889,CON__P00761,P01009_SERPINA1,P00558_PGK1
3,0.833333333333,CON__P00761,P01009_SERPINA1,P06870_KLK1
3,0.833333333333,CON__P00761,P01009_SERPINA1,P01859_IGHG2
3,0.888888888889,CON__P00761,P01009_SERPINA1,Q9UKR3_KLK13
3,0.833333333333,CON__P00761,P01009_SERPINA1,P55058_PLTP
3,0.833333333333,CON__P00761,P01009_SERPINA1,A0A087WV23_SH3BGRL3
3,0.833333333333,CON__P00761,A0A075B6R9,P01763
3,0.833333333333,CON__P00761,A0A075B6R9,B7Z6Z4_MYL6
3,0.833333333333,CON__P00761,A0A075B6R9,P02675_FGB
3,0.833333333333,CON__P00761,A0A075B6R9,A0A087WV23_SH3BGRL3
3,0.833333333333,CON__P00761,P13688_CEACAM1,P01008_SERPINC1
3,0.833333333333,CON__P00761,P13688_CEACAM1,P00330_ADH1
3,0.833333333333,CON__P00761,P63261_ACTG1,P02675_FGB
3,0.833333333333,CON__P00761,P63261_ACTG1,P00330_ADH1
3,0.833333333333,CON__P00761,P62328_TMSB4X,P01008_SERPINC1
3,0.833333333333,CON__P00761,P62328_TMSB4X,P02675_FGB
3,0.833333333333,CON__P00761,P68032_ACTC1,P00330_ADH1
3,0.833333333333,CON__P00761,P32926_DSG3,P01008_SERPINC1
3,0.888888888889,CON__P00761,P68371_TUBB4B,P02675_FGB
3,0.833333333333,CON__P00761,P20618_PSMB1,P01008_SERPINC1
3,0.833333333333,CON__P00761,P20618_PSMB1,P00330_ADH1
3,0.833333333333,CON__P00761,P04264_KRT1,P01008_SERPINC1
3,0.833333333333,CON__P00761,P52209_PGD,P01008_SERPINC1
3,0.833333333333,CON__P00761,P52209_PGD,P02675_FGB
3,0.833333333333,CON__P00761,P52209_PGD,P00330_ADH1
3,0.833333333333,CON__P00761,Q9HD89_RETN,P00330_ADH1
3,0.833333333333,CON__P00761,Q9HD89_RETN,P01859_IGHG2
3,0.888888888889,CON__P00761,P55786_NPEPPS,P01008_SERPINC1
3,0.833333333333,CON__P00761,P55786_NPEPPS,P02675_FGB
3,0.833333333333,CON__P00761,P55786_NPEPPS,P01859_IGHG2
3,0.888888888889,CON__P00761,P01763,P02675_FGB
3,0.833333333333,CON__P00761,P01763,P00330_ADH1
3,0.833333333333,CON__P00761,P01763,P01859_IGHG2
3,0.888888888889,CON__P00761,P31025_LCN1,P01008_SERPINC1
3,0.833333333333,CON__P00761,P31025_LCN1,P02675_FGB
3,0.833333333333,CON__P00761,P31025_LCN1,P00330_ADH1
3,0.833333333333,CON__P00761,P04004_VTN,P00330_ADH1
3,0.833333333333,CON__P00761,Q9UGM3_6_DMBT1,B7Z6Z4_MYL6
3,0.833333333333,CON__P00761,Q9UGM3_6_DMBT1,P02675_FGB
3,0.833333333333,CON__P00761,Q9UGM3_6_DMBT1,P01876_IGHA1
3,0.833333333333,CON__P00761,Q9UGM3_6_DMBT1,P00330_ADH1
3,0.833333333333,CON__P00761,P01008_SERPINC1,P19823_ITIH2
3,0.833333333333,CON__P00761,P01008_SERPINC1,P62942_FKBP1A
3,0.833333333333,CON__P00761,P01008_SERPINC1,P09228_CST2
3,0.833333333333,CON__P00761,P01008_SERPINC1,CON__P13645_KRT10
3,0.833333333333,CON__P00761,P01008_SERPINC1,P01023_A2M
3,0.833333333333,CON__P00761,P01008_SERPINC1,P02647_APOA1
3,0.833333333333,CON__P00761,P01008_SERPINC1,P01876_IGHA1
3,0.833333333333,CON__P00761,P01008_SERPINC1,P16401_HIST1H1B
3,0.833333333333,CON__P00761,P01008_SERPINC1,P07900_2_HSP90AA1
3,0.888888888889,CON__P00761,P01008_SERPINC1,P62937_PPIA
3,0.833333333333,CON__P00761,P01008_SERPINC1,P00330_ADH1
3,0.833333333333,CON__P00761,P01008_SERPINC1,P40925_3_MDH1
3,0.833333333333,CON__P00761,P01008_SERPINC1,CON__P01966
3,0.833333333333,CON__P00761,P01008_SERPINC1,P30740_SERPINB1
3,0.888888888889,CON__P00761,P01008_SERPINC1,P61160_2_ACTR2
3,0.888888888889,CON__P00761,P01008_SERPINC1,Q68D86_CCDC102B
3,0.833333333333,CON__P00761,P01008_SERPINC1,O15511_2_ARPC5
3,0.833333333333,CON__P00761,P01008_SERPINC1,P23280_CA6
3,0.833333333333,CON__P00761,P01008_SERPINC1,P01616
3,0.833333333333,CON__P00761,P01008_SERPINC1,Q8TAX7_MUC7
3,0.833333333333,CON__P00761,P01008_SERPINC1,P22532_SPRR2D
3,0.833333333333,CON__P00761,P01008_SERPINC1,P01859_IGHG2
3,0.833333333333,CON__P00761,P01008_SERPINC1,P02750_LRG1
3,0.833333333333,CON__P00761,P01008_SERPINC1,A0A087WV23_SH3BGRL3
3,0.888888888889,CON__P00761,P62942_FKBP1A,B7Z6Z4_MYL6
3,0.888888888889,CON__P00761,P62942_FKBP1A,P02675_FGB
3,0.833333333333,CON__P00761,P09228_CST2,P00330_ADH1
3,0.888888888889,CON__P00761,P06396_GSN,P02675_FGB
3,0.833333333333,CON__P00761,A0A0A0MTS2_GPI,P00330_ADH1
3,0.833333333333,CON__P00761,B7Z6Z4_MYL6,P02675_FGB
3,0.833333333333,CON__P00761,B7Z6Z4_MYL6,P62937_PPIA
3,0.833333333333,CON__P00761,B7Z6Z4_MYL6,P23280_CA6
3,0.833333333333,CON__P00761,B7Z6Z4_MYL6,P01616
3,0.833333333333,CON__P00761,B7Z6Z4_MYL6,P16403_HIST1H1C
3,0.833333333333,CON__P00761,Q07654_TFF3,P02675_FGB
3,0.833333333333,CON__P00761,P08603_CFH,P00330_ADH1
3,0.888888888889,CON__P00761,P02675_FGB,P04792_HSPB1
3,0.888888888889,CON__P00761,P02675_FGB,P01023_A2M
3,0.888888888889,CON__P00761,P02675_FGB,P04217_A1BG
3,0.833333333333,CON__P00761,P02675_FGB,P35321_SPRR1A
3,0.833333333333,CON__P00761,P02675_FGB,P02647_APOA1
3,0.833333333333,CON__P00761,P02675_FGB,P06331
