,12.5fmol_C1,12.5fmol_C10,12.5fmol_C2,12.5fmol_C4,12.5fmol_C5,12.5fmol_C8,12.5fmol_Ro,25fmol_semtumor_S09,25fmol_semtumor_S36,25fmol_semtumor_S49,25fmol_semtumor_S57,25fmol_semtumor_S61,25fmol_semtumor_S64,25fmol_semtumor_S68,25fmol_semtumor_T16,50fmol_T1T2_S17,50fmol_T1T2_S57,50fmol_T1T2_S77,50fmol_T1T2_T12,50fmol_T1T2_T20,50fmol_T1T2_T22,50fmol_T1T2_T23
genes,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol
P06753_2_TPM3,24.91379,27.17731,24.9308,25.70319,24.79015,25.51767,25.87807,23.35984,24.45839,25.74168,24.56413,23.55462,25.58678,24.19543,25.74242,27.06599,25.51941,25.56651,25.43644,27.56275,25.42864,23.75929
Q9Y6R7_FCGBP,0,23.28263,23.48013,0,25.35225,23.38166,21.94149,0,0,22.12146,25.18507,22.73084,22.54399,22.64055,23.96992,21.66049,22.42916,22.49365,23.4424,22.70641,0,24.0974
A0A087WZH9,22.44912,21.1994,21.6054,21.90021,21.95049,22.70181,22.68684,22.67554,22.84007,21.97872,23.15405,22.70284,22.8068,23.16134,22.22853,22.89903,23.23681,23.6971,22.01114,21.58806,23.55344,22.5656
A0A087WZM2_RNASET2,22.3538,22.16463,22.34232,22.02052,22.63655,21.02803,22.70126,0,19.83453,23.65731,22.46064,22.42378,22.54465,22.9196,22.09787,21.88985,21.98565,21.94181,21.92419,0,20.85118,21.03805
A0A087WZW8,31.09936,30.49762,30.29439,30.37472,31.58217,31.00223,30.91848,31.63815,31.68683,30.51766,31.10631,32.00935,31.18453,30.73425,30.69528,30.34657,30.62636,31.44786,31.24864,30.5819,31.72688,30.26293
A0A087X130,26.02735,25.40152,25.00513,24.98594,26.41918,25.83896,24.77535,23.97727,26.77115,24.83716,25.23714,21.42327,26.09559,25.26399,25.89899,0,25.14872,26.51438,26.04049,0,26.19143,25.32855
A0A075B6P5,27.30965,26.40834,26.97651,26.40111,27.62916,27.68899,27.29448,25.31776,26.93134,24.88651,25.67058,26.73982,24.75547,27.29386,25.95956,26.32279,26.09366,27.44695,26.60031,27.31277,26.80919,26.20885
A0A087X2C0,25.65927,28.66587,25.98642,26.11973,28.51281,26.92649,28.75656,27.69272,28.93284,25.32968,27.29342,27.73447,26.8925,32.12417,27.17883,26.26143,26.83485,27.82402,27.18764,27.38542,26.34623,26.02249
Q06830_PRDX1,26.27611,26.35948,25.64878,26.63048,24.09039,24.4197,25.30462,23.3317,24.79203,25.02433,23.09083,23.59012,24.1453,26.43598,23.85329,23.84623,26.12035,24.23805,24.19806,24.3575,24.83007,26.23129
P13797_PLS3,20.0462,21.71142,0,20.56987,0,19.97225,20.58068,0,23.14619,21.46139,0,20.54274,20.72201,20.46563,20.86136,20.53488,22.91964,0,0,20.98343,21.32647,20.40925
A8K2U0_A2ML1,24.82765,27.11991,26.7543,26.61063,24.30939,25.97596,26.77354,26.53045,25.84108,25.54233,25.72231,25.56119,26.51847,28.2332,25.03103,0,26.82177,24.5313,25.99593,26.94971,25.06217,27.52328
P08670_VIM,24.61611,28.20116,25.31347,27.74926,23.41145,26.95094,25.10749,23.59389,22.55171,24.4861,24.34908,23.62266,26.81323,23.91944,27.78444,27.68291,24.82411,25.21601,24.72234,27.16048,26.8447,22.46712
P15153_RAC2,0,21.39441,23.13715,22.41323,0,21.48522,24.41506,21.14102,22.99376,24.15205,22.62745,21.26894,23.41584,21821,22.72151,22.43497,22.60264,22.81878,22.82501,22.27313,23.27355,21.83588
P09429_HMGB1,22.94138,23.95296,23.65392,22.83353,0,23.25681,23.19691,0,22.39257,23.87352,0,0,0,22.69872,22.68344,23.10641,23.0756,22.86096,22.85835,23.92406,23.23643,22.87701
P62258_YWHAE,23.93256,23.27711,23.49704,24.25803,0,23.25839,24.84489,23.05595,22.95093,23.31921,22.27398,21.90536,22.4551,22.30034,22.2944,22.70079,22.82118,22.74207,22.62326,24.8699,23.59423,0
B4E1Z4_CFB,0,21.97442,0,22.01137,0,22.63318,23.41313,23.32773,25.69328,23.16028,23.66687,23.77062,0,23.46476,24.04068,23.8956,24.3908,23.99826,22.3942,22.9823,23.03184,0
B5MDF5_RAN,0,22.64922,21.52593,22.84891,0,21.5346,22.02965,0,21.35547,22.38659,0,0,21.67878,22.11937,21.67521,22.03268,21.94774,20.79329,21.53193,22.09799,20.34765,0
B7Z6Z4_MYL6,23.7686,24.39637,23.94905,24.40626,22.02979,24.15846,25.93885,21.90349,22.07803,23.13377,21.31562,20.30285,23.28673,22.90261,22.70271,23.7168,24.64334,22.46576,0,21.70151,23.47655,0
P06454_PTMA,0,21.98169,0,20.59368,0,22.26181,0,0,0,21.4978,0,0,21.87354,21.44253,0,0,0,0,21.59122,23.85243,21.18071,22.91024
